┌──(soros🏹WorkStation)-[~/homeworks/IDD - homework1]
└─$  /usr/bin/env /usr/lib/jvm/java-11-openjdk-amd64/bin/java -agentlib:jdwp=transport=dt_socket,server=n,suspend=y,address=localhost:39505 -Dfile.encoding=UTF-8 @/tmp/cp_6oob5xvcspsj6vhkveyycfbci.argfile utility.Stats 

===== Distribuzione valori distinti =====
1 colonne hanno 573 valori distinti.
4 colonne hanno 574 valori distinti.
2 colonne hanno 576 valori distinti.
4 colonne hanno 577 valori distinti.
2 colonne hanno 580 valori distinti.
2 colonne hanno 581 valori distinti.
2 colonne hanno 582 valori distinti.
2 colonne hanno 583 valori distinti.
2 colonne hanno 587 valori distinti.
3 colonne hanno 588 valori distinti.
3 colonne hanno 589 valori distinti.
2 colonne hanno 590 valori distinti.
2 colonne hanno 591 valori distinti.
1 colonne hanno 592 valori distinti.
1 colonne hanno 593 valori distinti.
1 colonne hanno 595 valori distinti.
4 colonne hanno 596 valori distinti.
1 colonne hanno 597 valori distinti.
1 colonne hanno 599 valori distinti.
2 colonne hanno 602 valori distinti.
1 colonne hanno 603 valori distinti.
2 colonne hanno 605 valori distinti.
1 colonne hanno 606 valori distinti.
1 colonne hanno 607 valori distinti.
1 colonne hanno 609 valori distinti.
2 colonne hanno 610 valori distinti.
4 colonne hanno 611 valori distinti.
1 colonne hanno 613 valori distinti.
1 colonne hanno 618 valori distinti.
1 colonne hanno 619 valori distinti.
2 colonne hanno 621 valori distinti.
1 colonne hanno 622 valori distinti.
3 colonne hanno 624 valori distinti.
3 colonne hanno 626 valori distinti.
2 colonne hanno 627 valori distinti.
1 colonne hanno 628 valori distinti.
2 colonne hanno 629 valori distinti.
6 colonne hanno 630 valori distinti.
1 colonne hanno 633 valori distinti.
1 colonne hanno 634 valori distinti.
2 colonne hanno 636 valori distinti.
1 colonne hanno 643 valori distinti.
1 colonne hanno 645 valori distinti.
1 colonne hanno 646 valori distinti.
1 colonne hanno 647 valori distinti.
3 colonne hanno 648 valori distinti.
3 colonne hanno 650 valori distinti.
1 colonne hanno 651 valori distinti.
1 colonne hanno 652 valori distinti.
3 colonne hanno 654 valori distinti.
1 colonne hanno 655 valori distinti.
2 colonne hanno 657 valori distinti.
1 colonne hanno 659 valori distinti.
2 colonne hanno 667 valori distinti.
1 colonne hanno 668 valori distinti.
1 colonne hanno 669 valori distinti.
1 colonne hanno 671 valori distinti.
2 colonne hanno 672 valori distinti.
1 colonne hanno 674 valori distinti.
1 colonne hanno 675 valori distinti.
1 colonne hanno 678 valori distinti.
3 colonne hanno 683 valori distinti.
3 colonne hanno 685 valori distinti.
2 colonne hanno 686 valori distinti.
2 colonne hanno 687 valori distinti.
1 colonne hanno 688 valori distinti.
1 colonne hanno 692 valori distinti.
1 colonne hanno 693 valori distinti.
2 colonne hanno 699 valori distinti.
1 colonne hanno 700 valori distinti.
1 colonne hanno 704 valori distinti.
1 colonne hanno 705 valori distinti.
1 colonne hanno 706 valori distinti.
1 colonne hanno 707 valori distinti.
2 colonne hanno 708 valori distinti.
1 colonne hanno 710 valori distinti.
2 colonne hanno 713 valori distinti.
1 colonne hanno 714 valori distinti.
1 colonne hanno 715 valori distinti.
2 colonne hanno 717 valori distinti.
2 colonne hanno 719 valori distinti.
1 colonne hanno 720 valori distinti.
2 colonne hanno 725 valori distinti.
1 colonne hanno 729 valori distinti.
1 colonne hanno 731 valori distinti.
1 colonne hanno 732 valori distinti.
1 colonne hanno 735 valori distinti.
1 colonne hanno 737 valori distinti.
1 colonne hanno 741 valori distinti.
2 colonne hanno 744 valori distinti.
1 colonne hanno 746 valori distinti.
1 colonne hanno 753 valori distinti.
1 colonne hanno 754 valori distinti.
1 colonne hanno 757 valori distinti.
1 colonne hanno 758 valori distinti.
1 colonne hanno 765 valori distinti.
2 colonne hanno 769 valori distinti.
1 colonne hanno 770 valori distinti.
1 colonne hanno 777 valori distinti.
1 colonne hanno 778 valori distinti.
1 colonne hanno 780 valori distinti.
1 colonne hanno 781 valori distinti.
1 colonne hanno 782 valori distinti.
3 colonne hanno 786 valori distinti.
1 colonne hanno 788 valori distinti.
1 colonne hanno 791 valori distinti.
1 colonne hanno 792 valori distinti.
1 colonne hanno 795 valori distinti.
1 colonne hanno 796 valori distinti.
2 colonne hanno 797 valori distinti.
2 colonne hanno 800 valori distinti.
1 colonne hanno 805 valori distinti.
1 colonne hanno 807 valori distinti.
1 colonne hanno 2856 valori distinti.
1 colonne hanno 811 valori distinti.
1 colonne hanno 814 valori distinti.
1 colonne hanno 815 valori distinti.
1 colonne hanno 827 valori distinti.
1 colonne hanno 828 valori distinti.
1 colonne hanno 830 valori distinti.
1 colonne hanno 835 valori distinti.
1 colonne hanno 841 valori distinti.
1 colonne hanno 844 valori distinti.
1 colonne hanno 847 valori distinti.
1 colonne hanno 850 valori distinti.
1 colonne hanno 2902 valori distinti.
1 colonne hanno 865 valori distinti.
1 colonne hanno 868 valori distinti.
1 colonne hanno 871 valori distinti.
1 colonne hanno 884 valori distinti.
1 colonne hanno 885 valori distinti.
1 colonne hanno 887 valori distinti.
1 colonne hanno 892 valori distinti.
1 colonne hanno 898 valori distinti.
1 colonne hanno 917 valori distinti.
1 colonne hanno 928 valori distinti.
2 colonne hanno 930 valori distinti.
1 colonne hanno 942 valori distinti.
1 colonne hanno 949 valori distinti.
1 colonne hanno 950 valori distinti.
1 colonne hanno 968 valori distinti.
1 colonne hanno 975 valori distinti.
1 colonne hanno 977 valori distinti.
1 colonne hanno 984 valori distinti.
1 colonne hanno 985 valori distinti.
1 colonne hanno 987 valori distinti.
1 colonne hanno 988 valori distinti.
1 colonne hanno 992 valori distinti.
1 colonne hanno 1003 valori distinti.
1 colonne hanno 1005 valori distinti.
3 colonne hanno 1007 valori distinti.
1 colonne hanno 1013 valori distinti.
1 colonne hanno 1022 valori distinti.
1 colonne hanno 1027 valori distinti.
1 colonne hanno 1032 valori distinti.
1 colonne hanno 1033 valori distinti.
